,channelName,subscribers,views,totalVideos,playlistId
0,EEG,1740000,1616271673,15332,UUZSJ9bCN0Kh8vJImfacvkFg
1,Teleantioquia,511000,121905317,38510,UUeq_SgWZDF8h-ujzwBXI5jQ
2,Juan De Montreal,1650000,479065947,1075,UUtUIhr_2EOuLdeAnFYMNnkg
3,Katia Nabil,1260000,127790680,391,UUyIE18PSCKxomVDaJ0lEGFw
4,Exitosa Noticias,749000,284204440,39447,UUxgO_rak_BKZP8VNVmYqbWg
5,Peter DelaG,2530000,618164800,378,UUYESDNsNvx0gi7VSYoZbpBQ
6,Avivamiento,661000,281703905,1654,UUXcQGr8uHA76jOZzUmMiVnQ
7,Cyzone,534000,298303972,1329,UUHYgIQkpWD9VRu2Vuc3XPUQ
8,Campechaneando,2520000,1153507429,3565,UUZd-6H5UnqzwqiedUYCD2Kg
9,Más Lucha,746000,559579543,26502,UUycDOsJg6tInGaVbZylMFmg
10,La Vega Mundial,520000,107025235,804,UUWXsMwESNCUkMI65bZ8zdDg
11,La Sombra del Imperio,1000000,267290439,1675,UUSJXasOBzUlztNbpkRDA53w
12,Las Estrellas,6680000,4194744632,39238,UUZGYvP6WnVWGM5F0QEAyoyg
13,Consejos Imagen,1910000,160593696,710,UUy2J_uXDucSGLZjfBWNvofA
14,Adrián Marcelo,1180000,198229919,337,UUZws69iVZXGSIY4D-WulZ7g
15,CryptoYoda,129000,7123713,163,UU3H9weNMEfYJQKnkc_9W2Yg
16,Revolución Popular Noticias,666000,570270886,31778,UUY4SCn6o-5Oc1SRk2J-i1Gg
17,Víctor González,3010000,133988597,245,UUz5NC7IJZV6EniijtaJ1hdQ
18,Movic Records,541000,711163106,321,UUvURWLttQQDceIRZfbXO3sw
19,Venevision,1680000,1215450288,5303,UUKzo7oVJPgzN7FVRHo0WC-Q
20,La Venganza de los Electroalces Pop,811000,194134649,1270,UUJDckP0ALdFV0hKyzX6FYwQ
21,lopeztips,543000,142065779,720,UUYsNvU3g8-PaSWZuWuIJQ2w
22,ATV Noticias,825000,420431042,47334,UUYG5uXS3xdsoaXIxum1pAEw
23,El Gamer Friki,1090000,154568320,536,UUzRKnN3Si8tawp35-Ilvqng
24,Canal REDMÁSTV,652000,142563858,5987,UUYs9bcL8XO8GLX_ZPzccVFw
25,Yohanan Díaz Vargas I Reportero e Investigador,563000,116070221,4204,UUYElmr7ehQmsiwtOMUkOuGw
26,Los Expulsados,574000,197423282,1277,UUynN-akTeURL50x72pCP2xg
